Portfolio,Geography,Category,Brand,Segment,Initial_Sales,Margin,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Fragrance + Color Cosmetics,North America,Make Up Brushes,Aveda,Bronzer,2136675,50,-5,15,5,40
Skin/Body,Europe,Fragrance,Frederic Malle,Mascara,1535891,42,-3,4,5,40
Hair/APDO,Europe,Face Make-Up,Balmain,Lipstick,1267876,38,0,15,4,30
Fragrance + Color Cosmetics,North America,Fragrance,Elizabeth Arden,Mascara,1706184,53,0,7,6,15
Skin/Body,Asia,Tools,Balmain,Toner,1215339,50,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Bronzer,1128889,36,-5,15,5,40
Skin/Body,North America,Make Up Brushes,Frederic Malle,Bronzer,3029832,44,-3,4,5,40
Hair/APDO,Asia,Make Up Brushes,Elizabeth Arden,Lipstick,3284067,56,0,7,6,15
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Lipstick,1924663,32,-5,15,5,40
Hair/APDO,Asia,Tools,Bobbi Brown,Mascara,4967223,58,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Face Make-Up,Frederic Malle,Lipstick,637686,46,-3,4,5,40
Skin/Body,Asia,Make Up Brushes,Aveda,Fragrance,4424221,60,-5,15,5,40
Skin/Body,Europe,Fragrance,Kilian,Fragrance,3867611,54,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Tools,Kilian,Mascara,2447238,37,-5,15,5,40
Fragrance + Color Cosmetics,North America,Tools,Bobbi Brown,Toner,4061262,48,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Fragrance,3739254,42,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Tools,Kilian,Toner,2031064,48,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Face Make-Up,Elizabeth Arden,Bronzer,1968919,36,0,7,6,15
Fragrance + Color Cosmetics,North America,Tools,Kilian,Toner,1945065,52,-5,15,5,40
Hair/APDO,Europe,Fragrance,Kilian,Toner,2141232,39,0,15,4,30
Hair/APDO,North America,Face Make-Up,Aveda,Fragrance,1284192,35,0,15,4,30
Hair/APDO,North America,Face Make-Up,Bobbi Brown,Lipstick,4029921,38,-1,3,7,14
Hair/APDO,Asia,Face Make-Up,Elizabeth Arden,Lipstick,1037977,44,0,7,6,15
Hair/APDO,North America,Fragrance,Kilian,Mascara,2659173,56,0,15,4,30
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Aveda,Toner,4997968,46,-5,15,5,40
Hair/APDO,North America,Fragrance,Kilian,Toner,4476974,55,0,15,4,30
Fragrance + Color Cosmetics,North America,Face Make-Up,Balmain,Bronzer,3387757,32,-5,15,5,40
Fragrance + Color Cosmetics,North America,Hair Dye,Aveda,Bronzer,3600498,53,-5,15,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Kilian,Toner,4319712,50,-5,15,5,40
Skin/Body,South America,Tools,Elizabeth Arden,Toner,797675,48,0,7,6,15
Hair/APDO,South America,Hair Dye,Kilian,Bronzer,625355,60,0,15,4,30
Hair/APDO,Europe,Face Make-Up,Kilian,Fragrance,2509606,37,0,15,4,30
Fragrance + Color Cosmetics,Asia,Face Make-Up,Frederic Malle,Toner,2381297,48,-3,4,5,40
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Fragrance,592036,40,0,7,6,15
Hair/APDO,Asia,Fragrance,Elizabeth Arden,Lipstick,1690456,34,0,7,6,15
Fragrance + Color Cosmetics,North America,Face Make-Up,Kilian,Mascara,2324964,45,-5,15,5,40
Hair/APDO,Europe,Make Up Brushes,Kilian,Fragrance,4608502,49,0,15,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Elizabeth Arden,Fragrance,1047219,53,0,7,6,15
Skin/Body,Asia,Hair Dye,Frederic Malle,Lipstick,4355933,54,-3,4,5,40
Skin/Body,Europe,Fragrance,Frederic Malle,Mascara,2397883,34,-3,4,5,40
Fragrance + Color Cosmetics,North America,Tools,Frederic Malle,Mascara,4166344,49,-3,4,5,40
Skin/Body,South America,Fragrance,Bobbi Brown,Toner,1594409,32,-1,3,7,14
Fragrance + Color Cosmetics,North America,Face Make-Up,Frederic Malle,Bronzer,2673513,53,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Balmain,Toner,1579525,58,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Bobbi Brown,Toner,1781506,49,-1,3,7,14
Hair/APDO,Europe,Tools,Frederic Malle,Toner,4335598,35,-3,4,4,30
Hair/APDO,Europe,Fragrance,Kilian,Lipstick,551707,56,0,15,4,30
Fragrance + Color Cosmetics,North America,Make Up Brushes,Kilian,Toner,2783785,55,-5,15,5,40
Skin/Body,South America,Face Make-Up,Elizabeth Arden,Toner,4033716,45,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Frederic Malle,Lipstick,2791136,42,-3,4,4,30
Skin/Body,North America,Make Up Brushes,Kilian,Lipstick,1352050,33,-5,15,5,40
Skin/Body,Europe,Make Up Brushes,Kilian,Fragrance,4969353,43,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Frederic Malle,Mascara,4248529,56,-3,4,5,40
Hair/APDO,Asia,Face Make-Up,Aveda,Lipstick,4361774,57,0,15,4,30
Skin/Body,South America,Fragrance,Balmain,Mascara,3318907,48,-5,15,5,40
Skin/Body,South America,Fragrance,Kilian,Mascara,4364044,47,-5,15,5,40
Hair/APDO,North America,Tools,Bobbi Brown,Lipstick,1308301,54,-1,3,7,14
Skin/Body,South America,Hair Dye,Balmain,Fragrance,1838306,47,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Balmain,Mascara,1869391,59,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Elizabeth Arden,Toner,936542,33,0,7,6,15
Skin/Body,Asia,Face Make-Up,Frederic Malle,Lipstick,2562087,52,-3,4,5,40
Hair/APDO,Europe,Hair Dye,Kilian,Lipstick,2495141,58,0,15,4,30
Hair/APDO,North America,Fragrance,Bobbi Brown,Bronzer,3999701,30,-1,3,7,14
Skin/Body,North America,Hair Dye,Balmain,Fragrance,3403609,31,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Elizabeth Arden,Mascara,4300315,37,0,7,6,15
Hair/APDO,North America,Make Up Brushes,Frederic Malle,Mascara,2905514,60,-3,4,4,30
Fragrance + Color Cosmetics,North America,Tools,Bobbi Brown,Fragrance,4199509,40,-1,3,7,14
Hair/APDO,North America,Face Make-Up,Elizabeth Arden,Mascara,2522784,54,0,7,6,15
Fragrance + Color Cosmetics,Europe,Tools,Aveda,Fragrance,928745,46,-5,15,5,40
Skin/Body,Europe,Face Make-Up,Aveda,Bronzer,1036644,48,-5,15,5,40
Skin/Body,Asia,Make Up Brushes,Bobbi Brown,Toner,3273737,53,-1,3,7,14
Hair/APDO,North America,Tools,Aveda,Mascara,1489336,49,0,15,4,30
Skin/Body,South America,Tools,Bobbi Brown,Mascara,561753,46,-1,3,7,14
Hair/APDO,Asia,Fragrance,Kilian,Fragrance,1155496,58,0,15,4,30
Fragrance + Color Cosmetics,South America,Tools,Balmain,Lipstick,576240,51,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Elizabeth Arden,Lipstick,4885224,60,0,7,6,15
Skin/Body,South America,Tools,Aveda,Bronzer,2062518,44,-5,15,5,40
Skin/Body,North America,Tools,Frederic Malle,Fragrance,2087819,35,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Elizabeth Arden,Lipstick,1490121,59,0,7,6,15
Hair/APDO,Europe,Hair Dye,Frederic Malle,Bronzer,4609545,48,-3,4,4,30
Hair/APDO,Europe,Face Make-Up,Elizabeth Arden,Bronzer,1521436,53,0,7,6,15
Skin/Body,South America,Fragrance,Elizabeth Arden,Lipstick,4684238,48,0,7,6,15
Fragrance + Color Cosmetics,North America,Tools,Frederic Malle,Mascara,2903233,48,-3,4,5,40
Skin/Body,Asia,Tools,Kilian,Fragrance,1633183,58,-5,15,5,40
Fragrance + Color Cosmetics,North America,Tools,Aveda,Mascara,1660294,46,-5,15,5,40
Skin/Body,North America,Fragrance,Elizabeth Arden,Lipstick,3448632,40,0,7,6,15
Hair/APDO,North America,Face Make-Up,Aveda,Fragrance,3524015,40,0,15,4,30
Skin/Body,Europe,Make Up Brushes,Kilian,Lipstick,1837768,58,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Elizabeth Arden,Lipstick,1025005,36,0,7,6,15
Skin/Body,South America,Face Make-Up,Frederic Malle,Lipstick,3950087,42,-3,4,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Elizabeth Arden,Bronzer,3701208,44,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Kilian,Lipstick,2514017,42,0,15,4,30
Skin/Body,North America,Make Up Brushes,Aveda,Toner,4149244,39,-5,15,5,40
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Toner,2362205,52,0,7,6,15
Hair/APDO,Asia,Make Up Brushes,Balmain,Mascara,2867322,60,0,15,4,30
Fragrance + Color Cosmetics,South America,Hair Dye,Elizabeth Arden,Lipstick,1199895,38,0,7,6,15
Hair/APDO,Asia,Fragrance,Bobbi Brown,Lipstick,3549316,55,-1,3,7,14
Skin/Body,Europe,Hair Dye,Bobbi Brown,Lipstick,1406450,32,-1,3,7,14
Skin/Body,South America,Make Up Brushes,Kilian,Bronzer,2543321,35,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Aveda,Mascara,4891401,33,-5,15,5,40
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,3138439,58,-1,3,7,14
Hair/APDO,North America,Tools,Balmain,Mascara,2305518,59,0,15,4,30
Skin/Body,Europe,Hair Dye,Frederic Malle,Bronzer,2482847,48,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Balmain,Toner,2357596,59,-5,15,5,40
Skin/Body,Europe,Tools,Bobbi Brown,Fragrance,2270394,55,-1,3,7,14
Hair/APDO,Europe,Hair Dye,Aveda,Bronzer,4295830,52,0,15,4,30
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Frederic Malle,Fragrance,1434048,49,-3,4,5,40
Skin/Body,North America,Tools,Aveda,Toner,3491620,44,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Elizabeth Arden,Toner,2949308,53,0,7,6,15
Hair/APDO,Asia,Tools,Elizabeth Arden,Mascara,4631146,31,0,7,6,15
Skin/Body,Europe,Tools,Elizabeth Arden,Toner,3721131,49,0,7,6,15
Hair/APDO,North America,Face Make-Up,Aveda,Mascara,4717690,32,0,15,4,30
Hair/APDO,South America,Tools,Aveda,Lipstick,4543763,32,0,15,4,30
Hair/APDO,South America,Tools,Balmain,Toner,1693982,59,0,15,4,30
Skin/Body,South America,Hair Dye,Kilian,Bronzer,2156042,52,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Fragrance,4790697,58,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Aveda,Fragrance,2998578,60,0,15,4,30
Hair/APDO,Europe,Hair Dye,Aveda,Toner,2045491,54,0,15,4,30
Hair/APDO,South America,Face Make-Up,Elizabeth Arden,Mascara,1933284,52,0,7,6,15
Hair/APDO,South America,Tools,Balmain,Fragrance,530257,41,0,15,4,30
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Lipstick,3135466,43,-1,3,7,14
Hair/APDO,North America,Hair Dye,Balmain,Mascara,1727222,53,0,15,4,30
Hair/APDO,North America,Make Up Brushes,Aveda,Lipstick,1365256,56,0,15,4,30
Fragrance + Color Cosmetics,Europe,Face Make-Up,Kilian,Bronzer,4973447,30,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Fragrance,749265,43,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Balmain,Toner,1635371,44,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Face Make-Up,Bobbi Brown,Mascara,3748140,59,-1,3,7,14
Skin/Body,Europe,Tools,Kilian,Mascara,2358997,33,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Balmain,Bronzer,1021244,37,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Bobbi Brown,Bronzer,939439,52,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Face Make-Up,Aveda,Toner,2394554,44,-5,15,5,40
Skin/Body,South America,Fragrance,Balmain,Toner,4285961,49,-5,15,5,40
Skin/Body,South America,Fragrance,Aveda,Bronzer,3121158,57,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Kilian,Lipstick,2498173,39,-5,15,5,40
Skin/Body,South America,Face Make-Up,Frederic Malle,Mascara,1141593,36,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Frederic Malle,Mascara,4609070,49,-3,4,5,40
Skin/Body,Asia,Face Make-Up,Aveda,Lipstick,1734215,37,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Elizabeth Arden,Fragrance,4750167,59,0,7,6,15
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Bronzer,778495,58,-5,15,5,40
Skin/Body,Europe,Make Up Brushes,Frederic Malle,Mascara,4401403,60,-3,4,5,40
Fragrance + Color Cosmetics,Asia,Tools,Elizabeth Arden,Mascara,4320671,37,0,7,6,15
Fragrance + Color Cosmetics,Asia,Face Make-Up,Bobbi Brown,Bronzer,2242166,59,-1,3,7,14
Skin/Body,North America,Hair Dye,Kilian,Mascara,3242455,50,-5,15,5,40
Fragrance + Color Cosmetics,North America,Tools,Kilian,Mascara,1097904,48,-5,15,5,40
Hair/APDO,Europe,Tools,Kilian,Lipstick,2104243,37,0,15,4,30
Fragrance + Color Cosmetics,South America,Tools,Frederic Malle,Fragrance,2138846,45,-3,4,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Toner,2882865,45,-5,15,5,40
Hair/APDO,South America,Make Up Brushes,Balmain,Lipstick,4598535,59,0,15,4,30
Skin/Body,North America,Fragrance,Kilian,Fragrance,2499117,35,-5,15,5,40
Hair/APDO,Europe,Make Up Brushes,Bobbi Brown,Lipstick,1011162,42,-1,3,7,14
Fragrance + Color Cosmetics,South America,Make Up Brushes,Aveda,Toner,2779042,57,-5,15,5,40
Skin/Body,Europe,Hair Dye,Elizabeth Arden,Fragrance,1239574,35,0,7,6,15
Fragrance + Color Cosmetics,North America,Face Make-Up,Frederic Malle,Toner,1119696,56,-3,4,5,40
Hair/APDO,South America,Tools,Aveda,Bronzer,3476030,54,0,15,4,30
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Bronzer,2350924,42,-1,3,7,14
Hair/APDO,Europe,Hair Dye,Kilian,Bronzer,1641452,49,0,15,4,30
Skin/Body,Europe,Make Up Brushes,Kilian,Lipstick,1730796,44,-5,15,5,40
Skin/Body,Asia,Hair Dye,Frederic Malle,Toner,2412493,42,-3,4,5,40
Hair/APDO,Europe,Face Make-Up,Aveda,Fragrance,4932027,46,0,15,4,30
Skin/Body,North America,Hair Dye,Elizabeth Arden,Mascara,4615741,60,0,7,6,15
Hair/APDO,North America,Hair Dye,Aveda,Mascara,2954698,42,0,15,4,30
Skin/Body,Europe,Tools,Kilian,Toner,975278,49,-5,15,5,40
Skin/Body,Asia,Hair Dye,Bobbi Brown,Fragrance,2126528,52,-1,3,7,14
Skin/Body,Asia,Fragrance,Elizabeth Arden,Lipstick,3321839,41,0,7,6,15
Skin/Body,Asia,Make Up Brushes,Kilian,Fragrance,4379928,43,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Elizabeth Arden,Bronzer,3354119,30,0,7,6,15
Fragrance + Color Cosmetics,Europe,Face Make-Up,Balmain,Toner,3099327,60,-5,15,5,40
Fragrance + Color Cosmetics,North America,Tools,Aveda,Mascara,3449311,35,-5,15,5,40
Hair/APDO,Europe,Fragrance,Kilian,Toner,3966032,48,0,15,4,30
Skin/Body,South America,Hair Dye,Balmain,Bronzer,1081904,56,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Frederic Malle,Fragrance,2522643,48,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Fragrance,Balmain,Bronzer,2823724,55,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Kilian,Bronzer,920539,52,-5,15,5,40
Fragrance + Color Cosmetics,South America,Hair Dye,Bobbi Brown,Toner,3997831,43,-1,3,7,14
Hair/APDO,Asia,Fragrance,Frederic Malle,Mascara,3022919,45,-3,4,4,30
Skin/Body,South America,Make Up Brushes,Frederic Malle,Bronzer,4031674,35,-3,4,5,40
Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Fragrance,2926105,54,0,7,6,15
Fragrance + Color Cosmetics,Europe,Hair Dye,Kilian,Mascara,770146,49,-5,15,5,40
Skin/Body,South America,Hair Dye,Balmain,Lipstick,4972089,44,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Bobbi Brown,Bronzer,1146275,52,-1,3,7,14
Hair/APDO,Asia,Fragrance,Elizabeth Arden,Lipstick,4961213,31,0,7,6,15
Hair/APDO,Europe,Tools,Kilian,Bronzer,1483667,46,0,15,4,30
Fragrance + Color Cosmetics,North America,Tools,Kilian,Bronzer,2701340,35,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Elizabeth Arden,Bronzer,1574477,44,0,7,6,15
Skin/Body,North America,Fragrance,Frederic Malle,Fragrance,797584,35,-3,4,5,40
Hair/APDO,Asia,Make Up Brushes,Bobbi Brown,Toner,2151348,47,-1,3,7,14
Hair/APDO,Europe,Face Make-Up,Frederic Malle,Mascara,4990224,54,-3,4,4,30
Hair/APDO,South America,Tools,Aveda,Mascara,1416004,42,0,15,4,30
Hair/APDO,North America,Tools,Aveda,Lipstick,1775393,56,0,15,4,30
Skin/Body,Asia,Make Up Brushes,Balmain,Toner,2242955,57,-5,15,5,40
Hair/APDO,Europe,Tools,Balmain,Fragrance,2135765,58,0,15,4,30
Fragrance + Color Cosmetics,Europe,Fragrance,Frederic Malle,Fragrance,2505534,53,-3,4,5,40
Skin/Body,Asia,Fragrance,Elizabeth Arden,Fragrance,1436320,44,0,7,6,15
Skin/Body,North America,Hair Dye,Elizabeth Arden,Mascara,4961902,50,0,7,6,15
Skin/Body,Europe,Face Make-Up,Aveda,Lipstick,3377429,46,-5,15,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Elizabeth Arden,Lipstick,3863244,45,0,7,6,15
Fragrance + Color Cosmetics,South America,Tools,Elizabeth Arden,Fragrance,1597996,56,0,7,6,15
Skin/Body,South America,Tools,Balmain,Bronzer,1168629,35,-5,15,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Frederic Malle,Mascara,4738340,44,-3,4,5,40
Fragrance + Color Cosmetics,Asia,Face Make-Up,Frederic Malle,Mascara,2078232,33,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Tools,Bobbi Brown,Toner,4718346,60,-1,3,7,14
Hair/APDO,Asia,Face Make-Up,Kilian,Toner,4843699,48,0,15,4,30
Hair/APDO,Asia,Hair Dye,Bobbi Brown,Fragrance,2265520,58,-1,3,7,14
Hair/APDO,South America,Hair Dye,Kilian,Toner,2265317,33,0,15,4,30
Fragrance + Color Cosmetics,Asia,Tools,Elizabeth Arden,Bronzer,2916826,37,0,7,6,15
Fragrance + Color Cosmetics,Asia,Tools,Frederic Malle,Bronzer,2217534,42,-3,4,5,40
Hair/APDO,Europe,Face Make-Up,Kilian,Fragrance,3550999,31,0,15,4,30
Hair/APDO,South America,Hair Dye,Aveda,Lipstick,4223234,45,0,15,4,30
Fragrance + Color Cosmetics,Europe,Hair Dye,Frederic Malle,Fragrance,3607548,50,-3,4,5,40
Hair/APDO,Asia,Hair Dye,Balmain,Fragrance,4358884,52,0,15,4,30
Fragrance + Color Cosmetics,Europe,Hair Dye,Aveda,Bronzer,2862460,33,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Frederic Malle,Mascara,3835379,38,-3,4,4,30
Fragrance + Color Cosmetics,Asia,Face Make-Up,Balmain,Mascara,4380323,40,-5,15,5,40
Hair/APDO,Asia,Fragrance,Kilian,Toner,990999,34,0,15,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Bobbi Brown,Toner,920602,42,-1,3,7,14
Fragrance + Color Cosmetics,South America,Fragrance,Bobbi Brown,Bronzer,3362349,52,-1,3,7,14
Skin/Body,Europe,Fragrance,Balmain,Lipstick,2220444,38,-5,15,5,40
Hair/APDO,North America,Make Up Brushes,Elizabeth Arden,Lipstick,4857356,57,0,7,6,15
Hair/APDO,North America,Hair Dye,Elizabeth Arden,Mascara,4591373,54,0,7,6,15
Fragrance + Color Cosmetics,Europe,Fragrance,Kilian,Toner,4407297,49,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Balmain,Fragrance,4734453,50,-5,15,5,40
Skin/Body,South America,Fragrance,Elizabeth Arden,Mascara,3824024,41,0,7,6,15
Fragrance + Color Cosmetics,Europe,Face Make-Up,Balmain,Lipstick,1861425,48,-5,15,5,40
Hair/APDO,North America,Face Make-Up,Frederic Malle,Lipstick,2435657,41,-3,4,4,30
Skin/Body,Asia,Hair Dye,Frederic Malle,Toner,2452026,56,-3,4,5,40
Hair/APDO,South America,Make Up Brushes,Bobbi Brown,Fragrance,4628784,59,-1,3,7,14
Hair/APDO,North America,Fragrance,Bobbi Brown,Fragrance,3553380,37,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Bobbi Brown,Fragrance,1433476,44,-1,3,7,14
Fragrance + Color Cosmetics,South America,Hair Dye,Aveda,Bronzer,3509828,57,-5,15,5,40
Skin/Body,South America,Make Up Brushes,Elizabeth Arden,Bronzer,3699039,48,0,7,6,15
Skin/Body,South America,Make Up Brushes,Aveda,Bronzer,3060837,54,-5,15,5,40
Hair/APDO,Asia,Hair Dye,Elizabeth Arden,Mascara,4169021,34,0,7,6,15
Skin/Body,South America,Hair Dye,Aveda,Toner,768508,59,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Bobbi Brown,Lipstick,1776485,36,-1,3,7,14
Hair/APDO,South America,Fragrance,Bobbi Brown,Lipstick,1027409,33,-1,3,7,14
Fragrance + Color Cosmetics,North America,Make Up Brushes,Elizabeth Arden,Toner,3611500,34,0,7,6,15
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Toner,4147965,39,-1,3,7,14
Hair/APDO,Asia,Face Make-Up,Kilian,Fragrance,2119282,58,0,15,4,30
Hair/APDO,North America,Hair Dye,Balmain,Bronzer,1387099,39,0,15,4,30
Skin/Body,Asia,Tools,Balmain,Lipstick,1444131,40,-5,15,5,40
Hair/APDO,Europe,Hair Dye,Bobbi Brown,Lipstick,692458,30,-1,3,7,14
Skin/Body,South America,Make Up Brushes,Aveda,Mascara,4396937,36,-5,15,5,40
Hair/APDO,Europe,Face Make-Up,Frederic Malle,Toner,1850850,40,-3,4,4,30
Hair/APDO,Europe,Face Make-Up,Kilian,Mascara,4330415,46,0,15,4,30
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Elizabeth Arden,Bronzer,3970431,54,0,7,6,15
Skin/Body,Europe,Make Up Brushes,Frederic Malle,Lipstick,4728087,42,-3,4,5,40
Skin/Body,Europe,Hair Dye,Aveda,Fragrance,4424152,51,-5,15,5,40
Fragrance + Color Cosmetics,South America,Face Make-Up,Kilian,Mascara,2183032,55,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Fragrance,Bobbi Brown,Mascara,1002264,38,-1,3,7,14
Fragrance + Color Cosmetics,Asia,Make Up Brushes,Bobbi Brown,Mascara,4675282,30,-1,3,7,14
Fragrance + Color Cosmetics,South America,Hair Dye,Kilian,Mascara,1444740,58,-5,15,5,40
Skin/Body,South America,Tools,Frederic Malle,Fragrance,2787319,47,-3,4,5,40
Fragrance + Color Cosmetics,Europe,Hair Dye,Bobbi Brown,Bronzer,2152131,42,-1,3,7,14
Fragrance + Color Cosmetics,Europe,Tools,Bobbi Brown,Lipstick,3129137,30,-1,3,7,14
Fragrance + Color Cosmetics,South America,Tools,Balmain,Toner,4361607,34,-5,15,5,40
Hair/APDO,Europe,Make Up Brushes,Kilian,Fragrance,2288220,52,0,15,4,30
Hair/APDO,Europe,Make Up Brushes,Kilian,Lipstick,2341646,51,0,15,4,30
Fragrance + Color Cosmetics,North America,Tools,Balmain,Bronzer,2319239,52,-5,15,5,40
Hair/APDO,Europe,Face Make-Up,Kilian,Fragrance,2479746,60,0,15,4,30
Skin/Body,Asia,Face Make-Up,Elizabeth Arden,Fragrance,2004900,56,0,7,6,15
Skin/Body,North America,Fragrance,Elizabeth Arden,Mascara,2880612,42,0,7,6,15
Hair/APDO,North America,Fragrance,Bobbi Brown,Bronzer,4625279,52,-1,3,7,14
Hair/APDO,South America,Face Make-Up,Aveda,Mascara,3477299,45,0,15,4,30
Fragrance + Color Cosmetics,South America,Fragrance,Frederic Malle,Fragrance,2046064,44,-3,4,5,40
Fragrance + Color Cosmetics,North America,Make Up Brushes,Elizabeth Arden,Fragrance,2206930,45,0,7,6,15
Skin/Body,South America,Make Up Brushes,Balmain,Fragrance,2309771,56,-5,15,5,40
Skin/Body,Asia,Fragrance,Bobbi Brown,Toner,2834482,51,-1,3,7,14
Fragrance + Color Cosmetics,South America,Tools,Balmain,Fragrance,1784283,42,-5,15,5,40
Skin/Body,Europe,Make Up Brushes,Bobbi Brown,Fragrance,2003061,42,-1,3,7,14
Hair/APDO,South America,Make Up Brushes,Frederic Malle,Mascara,4848530,45,-3,4,4,30
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Bronzer,906547,38,-5,15,5,40
Hair/APDO,Asia,Face Make-Up,Bobbi Brown,Toner,3691849,55,-1,3,7,14
Hair/APDO,South America,Hair Dye,Balmain,Toner,2041037,35,0,15,4,30
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Lipstick,4462931,32,-1,3,7,14
Fragrance + Color Cosmetics,South America,Face Make-Up,Aveda,Bronzer,2932665,54,-5,15,5,40
Fragrance + Color Cosmetics,Europe,Make Up Brushes,Balmain,Toner,2291396,50,-5,15,5,40
Fragrance + Color Cosmetics,North America,Fragrance,Aveda,Lipstick,4518293,58,-5,15,5,40
Fragrance + Color Cosmetics,North America,Make Up Brushes,Elizabeth Arden,Bronzer,4601599,40,0,7,6,15
Skin/Body,South America,Hair Dye,Balmain,Bronzer,4275702,51,-5,15,5,40
Skin/Body,South America,Hair Dye,Bobbi Brown,Toner,4305721,44,-1,3,7,14
Skin/Body,Europe,Tools,Balmain,Lipstick,658477,33,-5,15,5,40
Fragrance + Color Cosmetics,South America,Make Up Brushes,Kilian,Toner,4188173,45,-5,15,5,40
Fragrance + Color Cosmetics,Asia,Tools,Aveda,Lipstick,1301125,48,-5,15,5,40
Fragrance + Color Cosmetics,South America,Tools,Elizabeth Arden,Bronzer,4362949,55,0,7,6,15
Hair/APDO,North America,Hair Dye,Elizabeth Arden,Lipstick,2104592,47,0,7,6,15
Skin/Body,Europe,Hair Dye,Kilian,Fragrance,4716794,47,-5,15,5,40
Skin/Body,North America,Make Up Brushes,Aveda,Bronzer,4695843,31,-5,15,5,40
Skin/Body,Asia,Face Make-Up,Elizabeth Arden,Mascara,4573542,33,0,7,6,15
Fragrance + Color Cosmetics,Europe,Fragrance,Aveda,Toner,2024631,37,-5,15,5,40
Hair/APDO,Asia,Hair Dye,Bobbi Brown,Toner,4683583,40,-1,3,7,14
Fragrance + Color Cosmetics,North America,Hair Dye,Bobbi Brown,Bronzer,4328239,58,-1,3,7,14
Hair/APDO,South America,Face Make-Up,Balmain,Bronzer,2807600,34,0,15,4,30
Hair/APDO,Asia,Hair Dye,Kilian,Bronzer,966589,59,0,15,4,30
